GENE	HGID_CTL-H9_IFNa_rep1	HGID_CTL-H9_IFNa_rep2	HGID_CTL-H9_NS_rep1	HGID_CTL-H9_NS_rep2	HGID_CTL-MRC5-J1_IFNa_rep1	HGID_CTL-MRC5-J1_IFNa_rep2	HGID_CTL-MRC5-J1_NS_rep1	HGID_CTL-MRC5-J1_NS_rep2	HGID_CTL-MRC5-J3_IFNa_rep1	HGID_CTL-MRC5-J3_IFNa_rep2	HGID_CTL-MRC5-J3_NS_rep1	HGID_CTL-MRC5-J3_NS_rep2	HGID_SNORA31-8H_IFNa_rep1	HGID_SNORA31-8H_IFNa_rep2	HGID_SNORA31-8H_NS_rep1	HGID_SNORA31-8H_NS_rep2	HGID_SNORA31-P2_IFNa_rep1	HGID_SNORA31-P2_IFNa_rep2	HGID_SNORA31-P2_NS_rep1	HGID_SNORA31-P2_NS_rep2	HGID_SNORA31-P5_IFNa_rep1	HGID_SNORA31-P5_IFNa_rep2	HGID_SNORA31-P5_NS_rep1	HGID_SNORA31-P5_NS_rep2	HGID_STAT1_IFNa_rep1	HGID_STAT1_IFNa_rep2	HGID_STAT1_NS_rep1	HGID_STAT1_NS_rep2	HGID_TLR3_IFNa_rep1	HGID_TLR3_IFNa_rep2	HGID_TLR3_NS_rep1	HGID_TLR3_NS_rep2
PSMB8	1.051	1.081	-0.354	-0.444	0.843	0.705	-0.336	-0.325	1.267	1.249	0.087	-0.004	1.165	1.216	-1.124	-0.933	1.387	1.365	-0.247	-0.096	1.022	1.028	-1.095	-1.241	-0.441	-0.356	-0.751	-0.742	-0.17	-0.46	-2.249	-2.099
PSMB9	1.219	1.263	-0.646	-0.677	0.802	0.825	-0.3	-0.365	1.228	1.258	-0.166	-0.453	1.322	1.29	-0.736	-0.807	1.383	1.395	-0.387	-0.441	1.035	1.031	-1.153	-0.953	-0.652	-0.614	-0.809	-0.961	-0.08	0.047	-1.95	-1.95
PSME1	0.48	0.375	-0.561	-0.645	0.304	0.22	-0.457	-0.545	1.934	1.822	0.372	0.378	0.909	0.927	-1.783	-1.453	1.584	1.537	-0.513	-0.455	1.239	1.273	-0.398	-0.425	-0.31	-0.075	-0.31	-0.352	-0.996	-1.057	-1.743	-1.276
PSME2	0.836	0.328	-0.74	-1.18	0.675	0.027	-0.725	-1.458	1.807	1.266	-0.263	-0.817	1.01	1.056	-1.32	-0.984	1.841	1.86	-0.788	-0.548	1.489	1.565	-0.495	-0.377	-0.193	-0.129	-0.34	-0.349	-0.348	-0.805	-0.891	-1.01
PSMF1	0.192	0.481	-0.717	-0.519	0.196	0.311	-1.707	-1.45	0.867	0.954	-0.49	-0.967	0.665	0.932	-0.551	-0.176	1.47	1.398	-0.187	0.098	1.99	2.008	0.568	0.756	0.153	-0.201	-0.533	-0.356	-0.97	-0.649	-1.956	-1.613
PTGIR	0.522	0.599	-0.814	-1.31	0.611	0.62	-0.688	-1.31	1.663	1.299	0.944	0.226	1.486	1.369	-0.838	-0.343	1.287	1.428	-0.356	0.509	1.047	0.739	-1.31	-0.629	-1.31	-1.31	-1.31	-0.44	-0.753	0.184	-0.499	-1.31
PTK2B	1.732	1.924	0.311	0.094	1.072	0.974	-0.156	-0.279	1.208	1.253	-0.318	-0.388	1.127	1.24	-0.53	-0.245	0.75	0.575	-0.921	-1.18	0.822	0.768	-0.552	-0.538	-0.634	-0.381	-0.765	-0.68	-1.678	-1.628	-1.292	-1.686
PVRL2	1.076	1.176	-0.222	-0.21	0.618	0.619	-1.051	-1.171	1.332	1.247	-0.222	-0.293	0.798	0.847	-1.205	-1.026	1.864	1.863	0.011	0.006	1.206	1.32	-0.625	-0.951	-0.176	-0.274	-1.232	-1.044	-1.107	-1.092	-0.853	-1.227
RARRES3	1.113	1.111	-0.313	-0.299	0.779	0.892	-0.286	-0.257	1.203	1.215	0.122	0.04	1.106	1.097	-0.899	-0.786	1.232	1.235	-0.127	-0.026	0.816	0.824	-0.659	-0.682	-0.483	-0.29	-0.555	-0.633	-0.691	-0.628	-2.139	-3.036
RASSF2	-0.863	-0.923	0.306	0.23	-0.712	-1.045	-0.141	-0.093	-0.259	-0.168	1.041	1.022	-0.0	0.031	0.364	0.498	-0.755	-0.781	0.504	0.525	1.171	1.147	1.81	1.768	0.643	0.753	0.647	0.511	-2.128	-2.192	-1.47	-1.439
RBBP6	0.812	1.258	-1.191	-1.103	0.381	0.289	0.005	-0.241	1.14	1.405	-1.107	-1.004	1.405	0.956	1.302	1.033	-0.175	0.3	-2.042	-2.038	0.801	0.823	-1.015	-0.481	-0.694	-1.32	-0.716	-0.797	0.212	0.318	0.867	0.62
RBCK1	1.08	1.011	-0.511	-0.552	0.41	0.406	-0.948	-0.772	1.554	1.58	-0.286	-0.217	1.369	1.354	-0.858	-0.74	1.691	1.703	-0.101	-0.07	1.064	1.11	-0.873	-0.876	-0.518	-0.528	-0.998	-0.96	-0.982	-0.942	-1.192	-1.408
RBM43	1.151	1.186	-0.026	-0.23	0.684	0.659	-0.43	-0.392	1.223	1.148	0.085	0.329	0.892	0.937	-0.339	0.064	1.301	1.251	0.288	0.061	0.641	0.749	-0.869	-0.881	-0.356	-0.504	-0.929	-0.831	-0.769	-0.739	-2.756	-2.596
RBMS2	1.37	1.248	-0.384	-0.6	0.689	0.278	-1.281	-0.913	1.337	1.194	0.078	-0.227	1.143	1.133	-0.171	-0.144	1.644	1.601	-0.161	0.073	0.563	0.586	-0.36	-0.387	-0.415	-0.205	-0.413	-0.47	-1.045	-1.996	-1.661	-2.108
RELA	1.259	0.975	-0.465	-0.791	0.083	-0.344	-1.405	-1.076	0.697	1.193	-0.108	0.249	1.226	0.654	-0.676	-0.28	2.051	2.142	-0.571	-0.58	0.793	0.881	-0.032	0.273	-0.35	0.355	-0.564	0.34	-1.974	-1.514	-0.97	-1.472
RHBDF2	0.585	0.872	-1.15	-1.179	1.311	1.248	-0.361	-0.693	0.599	0.636	-1.293	-1.148	0.257	0.262	-0.29	-0.814	2.468	2.321	0.341	0.102	0.926	0.859	-0.726	-0.809	-0.348	-0.8	-0.45	-0.472	0.312	-0.037	-0.631	-1.896
RHOBTB3	0.39	0.473	-0.583	-0.641	-0.289	0.184	-1.323	-1.389	1.497	1.715	0.315	0.296	0.526	0.371	-0.517	-0.58	0.834	0.783	-0.728	-0.512	1.283	1.279	1.237	1.303	0.007	-0.187	0.565	0.385	-1.507	-1.262	-1.918	-2.007
RIN2	0.82	0.809	0.07	0.037	0.308	0.446	-0.929	-0.399	0.486	0.457	-0.055	0.239	0.6	0.529	0.325	0.337	0.901	0.871	-0.103	0.007	0.167	-0.015	0.044	-0.259	1.011	1.259	0.701	0.743	-2.971	-2.211	-2.055	-2.172
RIPK1	1.012	1.54	-0.018	-0.104	0.022	0.208	-0.591	-1.193	1.169	1.254	0.172	-0.066	1.435	1.293	-0.641	-0.423	1.431	1.492	-0.052	0.056	0.888	1.055	-0.654	-0.646	-0.499	-0.679	-0.641	-0.325	-1.327	-1.972	-2.083	-1.115
RMI2	0.331	0.575	-0.768	-0.528	0.371	0.084	-0.978	-0.577	1.227	1.081	0.274	0.142	1.027	0.704	-0.445	-0.315	1.13	1.13	-1.067	-0.944	1.136	1.345	0.431	0.46	0.764	0.414	0.148	0.404	-0.891	-2.151	-2.21	-2.306
RNF114	0.95	0.999	-0.347	-0.39	0.343	0.683	-0.753	-0.742	1.131	0.984	-0.437	-0.477	1.123	1.313	-0.656	-0.895	1.668	1.714	-0.895	-0.676	1.389	1.426	-0.334	-0.134	-0.202	-0.254	-0.202	-0.199	-1.044	-1.272	-1.853	-1.961
RNF149	0.715	0.746	-0.136	-0.409	0.538	0.755	-0.14	-0.317	1.276	1.239	-0.186	-0.412	1.398	1.022	-0.608	-0.515	2.315	2.434	-0.734	-0.511	0.541	0.567	-0.904	-0.595	-1.293	-1.094	-0.809	-1.194	-0.509	-0.716	-0.973	-1.492
RNF19B	0.861	0.289	-1.532	-1.352	0.527	0.543	-0.784	-1.22	1.123	1.008	-0.948	-1.365	1.675	1.631	-0.71	-0.578	1.402	1.365	-0.981	-1.197	1.635	1.58	-0.34	-0.409	-0.423	-0.392	-0.561	-0.539	0.13	-0.056	0.178	-0.561
RNF213	1.577	1.604	-0.784	-0.748	1.022	1.05	-0.881	-0.865	1.322	1.35	-0.627	-0.677	1.04	1.033	-0.328	-0.322	1.53	1.551	-0.855	-0.834	0.97	1.004	-0.994	-0.922	-0.524	-0.483	-0.934	-0.834	-0.552	-0.603	-1.122	-1.162
RNF31	0.273	0.332	-0.9	-0.653	0.304	0.199	-0.746	-0.506	1.761	1.348	-0.718	-0.324	0.579	0.59	-1.716	-2.943	1.194	1.185	-0.457	-0.244	1.416	1.54	0.238	0.555	0.432	0.409	-0.137	-0.228	-0.522	0.257	-1.133	-1.387
RP11-1220K2.2	-0.521	-0.834	0.628	0.512	-0.407	-1.924	0.206	1.009	-0.567	-1.924	0.773	0.346	-1.924	-0.375	1.156	0.091	0.625	-0.93	0.768	0.488	0.89	0.867	1.188	0.947	0.479	0.789	-1.924	-0.096	0.815	-0.031	-1.924	0.807
RPS6KC1	0.451	-0.061	-1.089	-1.011	0.206	0.455	-0.398	-0.946	1.004	0.681	-1.37	-1.052	1.774	2.222	0.972	1.133	1.438	1.825	-0.983	-1.472	0.838	0.751	-0.688	-0.67	-1.057	-0.66	-0.13	-0.305	-0.462	-0.07	-0.789	-0.536
RSAD2	1.132	1.13	-0.777	-0.692	0.995	0.978	-0.936	-0.828	1.394	1.4	-0.643	-0.619	1.328	1.326	-0.891	-0.893	1.306	1.307	-1.103	-1.107	1.291	1.299	-1.014	-0.901	-0.648	-0.584	-1.21	-1.022	0.078	0.092	-0.558	-0.631
RTP4	1.08	1.091	-1.129	-0.578	0.972	1.08	-1.129	-0.513	1.051	1.132	-0.715	-1.129	1.208	1.138	-0.689	-1.129	1.546	1.536	-0.579	-1.129	1.283	1.37	-0.732	-0.285	-0.493	-0.712	-1.129	-1.129	0.068	0.434	-0.661	-1.129
RUFY4	1.686	1.015	-0.828	-0.828	1.679	0.778	0.67	-0.828	1.337	1.811	-0.828	-0.828	1.401	1.149	-0.828	-0.828	-0.828	0.042	-0.828	-0.828	0.948	0.348	-0.828	-0.828	-0.828	-0.828	-0.828	-0.828	0.54	1.5	-0.828	-0.828
SAMD9	1.122	1.123	-0.606	-0.541	0.927	0.947	-0.71	-0.72	1.318	1.333	-0.482	-0.427	1.056	1.048	-0.881	-0.968	1.352	1.344	-0.523	-0.642	1.155	1.157	-0.956	-1.03	-0.025	-0.019	-1.0	-1.038	0.214	0.227	-1.855	-1.899
SAMD9L	1.172	1.17	-0.243	-0.23	0.861	0.868	-0.383	-0.403	1.203	1.216	-0.269	-0.237	1.022	1.013	-0.628	-0.617	1.348	1.355	-0.17	-0.144	0.8	0.816	-0.803	-0.789	-0.338	-0.296	-0.825	-0.846	-0.226	-0.206	-2.522	-2.667
SAMHD1	1.186	1.185	-0.879	-0.872	0.8	0.788	-0.92	-0.922	1.573	1.587	-0.897	-0.834	1.34	1.386	-1.054	-0.948	1.368	1.381	-0.707	-0.609	1.144	1.132	-0.945	-0.993	-0.62	-0.641	-0.926	-0.843	0.081	0.058	-0.655	-0.746
SCARB2	1.24	1.255	-0.476	-0.482	0.791	0.665	0.052	0.023	0.639	0.659	-1.57	-1.611	0.741	0.618	-0.631	-0.727	2.297	2.288	-0.164	-0.298	0.992	1.036	-0.701	-0.651	-1.048	-1.115	-1.133	-1.226	-0.059	-0.097	-0.613	-0.695
SCN4B	0.683	0.658	1.919	2.222	-1.024	-0.327	1.064	1.024	-0.293	-0.15	1.277	0.941	0.861	0.53	-0.869	-0.13	-1.278	-0.827	-1.246	-1.405	-0.55	0.251	1.004	1.652	-0.606	-0.666	-0.825	-0.628	-0.588	-0.724	-0.732	-1.22
SECTM1	1.111	1.186	-0.576	-0.661	1.026	1.053	-0.681	-0.382	1.417	1.442	0.019	0.208	1.019	1.045	-1.3	-1.154	1.6	1.58	-0.194	-0.215	0.816	0.951	-1.182	-1.277	-0.432	-0.823	-1.275	-1.059	-0.509	-0.405	-1.1	-1.246
SERPING1	0.897	0.911	0.12	0.189	0.382	0.33	-0.366	-0.147	0.872	0.823	-0.017	0.089	0.924	0.91	0.129	0.156	0.865	0.915	-0.062	0.033	0.745	0.804	-0.187	-0.188	0.142	0.072	-0.087	0.002	-1.518	-1.626	-3.391	-2.719
SETX	1.652	1.562	-0.249	-0.477	0.516	0.6	-0.919	-0.894	1.502	1.361	-0.222	-0.13	0.989	0.949	-0.448	-0.459	2.061	2.026	-0.432	-0.532	0.375	0.377	-0.793	-0.855	-1.226	-1.109	-0.795	-0.919	-0.702	-0.868	-0.941	-1.001
SFI1	0.995	0.538	-1.018	-1.455	-0.309	-0.61	-1.36	-1.632	-0.288	-0.163	-1.211	-1.439	-0.442	-0.079	-0.198	0.229	1.892	1.659	-1.518	-0.875	1.841	1.123	0.813	1.014	1.349	0.317	0.189	0.571	-0.447	-0.228	0.587	0.156
SHISA5	0.867	0.816	-0.339	-0.139	0.282	0.464	-0.468	-0.668	1.058	1.485	-0.707	-0.423	1.312	1.201	-2.379	-2.4	1.366	1.503	-0.005	-0.032	1.079	1.261	-0.904	-0.939	-0.175	-0.02	-0.701	-0.614	-0.184	0.07	-0.805	-0.862
SLC15A3	0.98	0.944	-0.3	-0.705	1.107	1.028	-1.067	-0.869	1.179	0.988	-0.779	-0.565	1.152	1.163	-1.04	-0.99	1.7	1.725	0.367	0.144	1.148	1.076	-0.748	-1.086	-0.875	-0.932	-1.346	-1.36	-0.145	-0.001	-0.923	-0.971
SLC18B1	1.357	1.301	-0.349	-0.591	0.659	1.148	0.408	-0.098	1.541	1.51	-1.187	-1.722	1.703	1.378	-0.251	-0.023	1.233	1.354	-0.217	-0.504	-0.098	0.266	-1.316	-1.159	-0.636	-0.668	-0.591	-0.878	-0.593	-0.749	-1.131	-1.097
SLC25A28	0.59	0.611	-1.082	-0.857	0.862	1.007	-1.192	-0.738	1.659	1.649	-0.53	-0.86	1.196	1.507	-1.311	-1.328	1.482	1.405	-0.704	-0.643	1.142	1.23	-0.757	-0.801	-0.539	-0.664	-0.883	-0.914	0.238	0.149	-0.518	-0.406
SLC2A12	1.262	1.249	0.571	0.661	0.292	0.308	-0.51	-0.332	1.035	1.169	0.08	0.153	1.062	1.057	-0.074	-0.205	0.688	0.581	0.097	-0.14	0.682	0.59	-0.373	-0.397	0.076	0.035	-0.3	-0.401	-1.839	-1.937	-2.243	-2.899
SLC30A1	0.254	0.186	-0.857	-1.099	0.235	0.543	0.174	0.092	0.875	1.013	-0.721	-0.864	1.688	1.515	0.046	0.048	1.649	1.843	0.043	0.094	1.072	1.348	-0.432	-0.546	-0.146	-0.33	-0.816	-0.682	-1.092	-1.104	-2.019	-2.009
SLC30A2	-1.999	0.104	0.718	1.705	0.521	-0.555	1.418	1.166	0.01	0.393	0.17	0.293	-1.862	-2.906	-1.109	-0.815	-0.261	-0.282	0.114	-0.732	-0.549	0.137	-0.038	-0.542	0.645	1.155	0.198	-0.383	1.12	1.274	0.541	0.351
SLC6A9	0.148	1.091	-0.661	-0.692	0.409	0.673	-2.15	-2.165	0.498	0.185	-0.639	-0.364	0.004	0.675	-1.188	-0.856	1.96	2.022	0.024	0.447	0.987	1.074	0.794	0.772	0.613	-0.063	0.238	0.283	-1.075	-0.646	-1.392	-1.004
SLFN12	0.831	0.977	0.316	-0.015	0.563	0.717	-0.433	-0.063	0.947	0.899	0.087	0.207	0.628	0.608	-0.297	-0.232	1.538	1.48	-0.233	-0.319	0.93	0.989	0.201	0.08	-0.504	-0.429	-0.649	-0.897	-1.046	-1.359	-2.986	-2.539
SLFN12L	1.584	1.386	-1.274	-0.491	0.557	0.593	-0.486	-0.4	1.581	1.404	-0.519	-0.818	1.086	0.998	-0.887	-0.347	1.348	1.472	-0.492	-1.274	1.141	1.163	-0.309	-0.935	-1.274	-1.274	-0.422	-0.94	-0.111	0.073	-0.858	-1.274
SLFN13	0.657	1.124	-0.592	-2.059	0.996	0.446	-0.863	-0.732	1.452	1.776	0.956	0.449	0.781	1.105	0.003	0.166	1.207	1.646	-1.292	-1.302	0.006	0.997	-0.594	-1.211	-1.147	-0.704	-0.603	-0.781	0.2	-1.185	-0.569	-0.332
SLFN5	1.49	1.545	-1.081	-0.798	0.994	1.058	-0.723	-0.715	1.761	1.824	0.247	0.279	1.262	1.325	-0.629	-0.647	1.203	1.213	-0.195	-0.178	-0.055	-0.033	-1.097	-1.036	-0.765	-0.763	-0.7	-0.74	-0.854	-0.782	-1.164	-1.246
SMCHD1	1.471	1.191	-0.567	-0.79	0.383	0.177	-0.812	-1.266	2.092	1.875	-0.867	-0.754	1.546	1.346	-0.495	-0.469	1.24	1.244	-0.916	-1.041	0.77	0.634	-0.174	-0.355	-0.357	-0.427	-0.265	-0.165	-1.026	-1.23	-0.854	-1.137
SMIM14	0.948	1.026	-0.361	-0.268	0.605	0.696	-0.333	-0.537	1.479	1.566	-0.015	-0.204	0.892	1.001	-0.727	-0.987	1.78	1.912	-0.464	-0.37	1.099	1.1	-0.372	-0.535	-0.881	-0.837	-0.865	-0.791	-1.467	-1.48	-1.273	-1.338
SMTNL1	0.754	0.611	0.044	-0.688	-0.718	0.66	-0.658	-1.482	1.687	2.008	-0.793	-0.902	0.2	-0.356	0.388	0.66	0.093	0.912	-1.265	-1.533	1.268	0.784	0.547	0.806	-1.332	-2.014	0.515	-1.524	1.067	-0.023	0.57	-0.286
SNX6	0.358	0.222	-0.62	-0.909	0.123	-0.222	-0.784	-0.849	1.301	1.116	0.007	-0.338	1.189	1.14	-0.631	-0.551	1.767	1.709	-0.441	-0.416	1.134	1.084	-0.052	0.132	0.298	0.325	0.451	0.308	-1.058	-1.099	-2.262	-2.432
SOAT1	0.813	0.72	-1.095	-0.896	0.438	0.241	-0.536	-0.572	1.458	1.305	-0.09	-0.371	1.118	1.678	-0.672	-0.741	1.755	1.803	-1.012	-0.999	0.94	1.049	-0.027	0.26	-0.524	-0.741	0.019	-0.178	-0.714	-0.848	-1.87	-1.709
SOCS1	0.973	0.845	-0.283	0.078	0.246	0.301	-1.78	-0.61	0.93	0.821	-0.072	0.141	1.988	1.829	-0.002	-0.211	0.937	0.981	0.115	-1.037	1.411	1.415	-0.97	-0.453	-0.161	-0.398	-1.442	-0.73	-1.055	-0.941	-0.846	-2.018
SP100	1.063	1.047	-0.7	-0.807	0.885	0.924	-0.8	-0.628	1.364	1.331	-0.118	-0.213	1.12	1.132	-0.734	-0.838	1.521	1.518	-0.037	-0.048	0.996	1.0	-0.76	-0.863	-0.578	-0.5	-0.656	-0.758	-0.33	-0.359	-2.013	-2.163
SP110	1.114	1.102	-0.455	-0.319	0.847	0.788	-0.523	-0.686	1.275	1.199	-0.316	-0.363	1.279	1.273	-0.946	-0.473	1.263	1.283	-0.405	-0.405	1.066	1.083	-0.922	-0.994	-0.043	-0.073	-0.819	-0.741	-0.268	-0.299	-1.997	-2.529
SP140	1.269	1.031	-0.893	-1.327	1.065	0.172	-0.86	-0.275	1.797	1.052	0.29	-0.201	1.246	0.825	0.174	-0.985	1.071	0.95	-0.529	-0.898	0.306	-0.141	-1.15	-0.342	-0.562	-1.067	-0.049	-3.178	0.613	0.639	0.166	-0.206
SP140L	1.097	1.04	0.144	-0.113	0.712	0.661	-0.493	-0.159	1.164	1.096	0.174	-0.043	1.091	1.085	-0.413	-0.464	1.236	1.212	-0.124	0.33	0.803	0.892	-0.526	-0.594	-0.653	-0.729	-0.592	-0.743	-0.727	-0.953	-2.706	-2.706
SPATA13	0.685	1.051	-1.685	-1.684	0.371	0.548	-0.762	-0.134	-0.003	0.237	-1.571	-1.123	0.924	1.065	0.216	0.149	1.027	1.022	-1.277	-1.97	1.621	1.719	0.379	0.451	0.533	0.534	0.443	0.517	-1.116	-1.283	-0.371	-0.515
SPATS2L	0.851	0.852	-0.282	-0.37	0.27	0.138	-0.826	-0.702	1.592	1.501	0.468	0.45	0.926	0.981	-0.269	-0.291	1.33	1.394	-0.276	-0.335	0.8	0.831	-0.466	-0.377	-0.132	-0.147	-0.011	-0.052	-1.476	-1.533	-2.356	-2.484
SPSB1	0.868	0.715	-0.336	-0.115	0.758	0.749	-0.02	0.127	0.985	1.297	0.125	0.228	0.989	1.025	-1.222	-1.283	1.787	1.91	0.279	0.4	0.509	0.577	-1.353	-1.529	-0.734	-0.908	-1.5	-1.625	-0.014	-0.055	-1.233	-1.399
SPTLC2	1.069	1.041	-0.934	-1.017	0.806	0.85	-0.821	-0.625	1.753	1.853	-0.493	-0.151	0.801	0.801	-0.07	-0.11	2.014	1.88	-0.097	-0.125	0.322	0.428	-1.019	-1.023	-1.224	-1.362	-1.175	-1.092	-0.426	-0.377	-0.617	-0.86
SQRDL	0.989	1.194	-0.041	0.196	0.83	0.763	-0.169	0.267	1.103	1.18	0.012	0.27	1.035	1.152	-0.245	-0.32	1.046	1.309	-0.151	0.402	0.626	0.592	-0.948	-1.18	-0.793	-0.808	-1.728	-1.74	-0.37	-0.357	-2.723	-1.395
SREBF1	-0.978	-1.233	0.691	0.653	-1.28	-1.202	-0.968	0.007	-0.46	-0.271	1.833	1.12	-0.17	-1.063	2.092	1.47	-1.315	-1.189	0.082	0.789	-0.47	-0.593	1.111	1.12	0.685	1.111	0.578	0.303	-1.252	-1.056	0.341	-0.489
STARD4	1.086	1.232	-0.216	-0.082	0.838	0.95	-0.501	-0.764	0.629	0.56	-0.246	-0.268	0.884	1.189	-0.715	-0.63	1.039	1.022	-0.546	-0.477	0.773	0.957	0.601	0.661	-0.274	-0.232	-0.374	-0.417	-0.489	-0.346	-3.005	-2.841
STAT1	1.08	1.045	-0.598	-0.603	0.873	0.849	-0.532	-0.489	1.306	1.271	-0.371	-0.401	1.2	1.195	-0.692	-0.646	1.224	1.229	-0.285	-0.315	1.181	1.191	-0.608	-0.574	-1.331	-1.261	-1.811	-1.738	0.502	0.468	-1.181	-1.181
STAT2	1.186	1.182	-0.743	-0.771	0.77	0.729	-0.959	-0.951	1.579	1.582	-0.332	-0.373	1.248	1.243	-1.084	-1.014	1.565	1.604	-0.65	-0.638	1.157	1.186	-0.886	-0.848	-0.605	-0.515	-0.905	-0.864	-0.528	-0.513	-0.948	-0.904
STK24	0.342	-0.144	-1.378	-1.364	0.482	0.202	-1.294	-0.238	1.352	0.782	-1.056	-0.845	1.403	1.576	-0.013	-0.111	2.245	1.908	-0.939	0.094	1.342	0.632	-0.883	-0.663	-0.256	-0.228	0.627	0.267	-0.766	-0.873	-1.013	-1.191
STOML1	0.473	0.377	-0.376	-0.115	1.759	0.999	0.477	-0.857	1.043	0.999	-0.982	-1.122	1.418	1.087	-1.975	-1.401	1.447	0.363	0.37	0.565	0.337	0.278	-1.346	-1.166	-0.898	-1.192	-1.218	-0.902	1.215	0.921	-0.328	-0.247
STON2	-0.119	0.261	-2.017	-2.048	0.103	0.493	0.102	0.418	1.874	1.572	-0.034	0.045	0.2	0.3	0.324	0.326	-0.341	-0.121	-0.337	-0.164	-0.062	0.094	0.117	0.074	1.312	1.277	1.314	1.235	-1.247	-1.276	-1.991	-1.683
STRN	1.247	0.848	-1.263	-1.086	-0.688	-1.313	-1.418	-2.081	1.679	0.702	-0.331	-0.704	0.937	1.197	1.306	1.209	0.378	0.924	-0.767	-1.817	0.97	1.188	0.248	0.332	-0.046	-0.058	0.32	0.244	-0.163	-0.797	-0.432	-0.767
STX17	1.598	2.022	-0.081	0.4	0.051	0.684	-0.425	-0.174	1.574	1.901	-0.505	-0.393	0.98	1.152	-0.793	-0.83	1.152	1.299	-0.798	-0.962	0.459	0.458	-1.712	-1.484	-0.737	-1.123	-0.9	-0.739	-0.507	-0.659	-0.402	-0.508
SYNE2	1.164	1.124	-0.258	-0.308	-0.458	-0.413	-1.356	-1.369	0.602	0.538	-0.136	-0.17	0.452	0.48	0.633	0.662	0.29	0.305	-1.027	-1.096	0.74	0.743	0.375	0.421	1.394	1.407	1.168	1.16	-2.012	-1.945	-1.534	-1.576
SYNJ2BP	0.646	0.975	-0.965	-0.221	-0.058	0.328	-0.633	-0.85	1.815	2.268	-0.067	-0.1	0.842	0.683	-0.773	-1.074	1.244	1.09	-0.069	-0.168	1.429	1.469	-0.338	-0.443	-0.317	-0.21	-0.677	-0.815	-0.331	-0.722	-1.855	-2.103
SYTL3	0.985	0.923	-1.885	-1.494	0.25	0.063	-1.478	-0.933	2.139	2.17	1.113	0.729	0.081	0.3	-0.839	0.455	1.478	1.195	-0.959	-0.22	0.225	0.092	-0.43	-0.126	-0.298	-0.633	-1.295	-1.028	-0.68	-0.484	0.666	-0.084
TAP1	1.113	1.095	-0.583	-0.56	0.927	0.964	-0.464	-0.467	1.302	1.298	-0.419	-0.457	1.26	1.266	-0.921	-1.084	1.339	1.356	-0.709	-0.516	1.262	1.271	-0.87	-0.929	-0.46	-0.438	-1.072	-0.897	-0.042	-0.068	-1.683	-1.812
TAP2	1.373	1.398	-0.717	-0.507	0.838	0.802	-0.379	-0.506	1.224	1.275	-0.171	-0.231	1.423	1.411	-0.86	-0.725	1.436	1.431	-0.189	-0.275	0.72	0.806	-1.176	-1.575	-0.849	-0.87	-1.239	-1.199	-0.032	-0.02	-1.183	-1.433
TAPBP	0.929	0.982	-0.341	-0.189	0.578	0.848	0.088	-0.098	0.968	0.93	-0.583	-0.454	0.922	0.865	-0.246	-0.172	1.906	1.917	0.229	0.07	1.028	1.204	-0.557	-0.661	-0.78	-0.877	-0.847	-1.042	-1.458	-1.603	-1.557	-1.998
TAPBPL	0.935	1.171	0.139	0.172	1.126	0.873	-0.283	0.433	0.914	1.026	-0.001	-0.261	1.469	1.512	0.139	0.274	1.143	0.859	0.442	0.24	-0.364	-0.045	-1.084	-1.786	-0.994	-1.223	-0.688	-1.117	-0.389	-0.529	-1.321	-2.781
TBC1D1	1.126	0.941	-0.084	0.092	0.05	-0.162	-1.068	-1.07	2.084	1.996	0.739	0.678	0.726	0.655	-0.728	-0.267	1.049	0.95	-0.573	-0.582	0.779	0.882	-0.007	-0.116	-0.184	-0.204	-0.449	-0.264	-1.735	-1.728	-1.724	-1.8
TBC1D4	0.692	0.873	-0.183	-0.179	0.569	0.486	-0.323	0.006	2.252	2.197	0.913	1.067	0.877	0.96	-0.062	0.25	1.023	1.021	-0.417	-0.283	-0.086	-0.236	-0.87	-0.637	-1.333	-1.39	-1.124	-1.302	-1.412	-1.645	-0.763	-0.94
TCF24	-1.491	-1.491	1.443	0.234	-0.519	-1.491	1.669	0.88	-0.114	-1.491	-0.196	0.812	0.835	2.136	0.564	1.346	-1.491	-1.491	0.232	0.213	-0.111	0.792	-1.491	0.098	-0.167	-0.184	-0.257	-0.754	0.816	0.43	-0.025	0.265
TCF4	0.598	0.53	0.178	0.111	0.266	0.223	-0.087	-0.099	0.888	0.862	0.476	0.482	0.582	0.558	0.172	0.126	0.578	0.607	0.302	0.342	0.448	0.482	0.275	0.266	0.3	0.255	0.241	0.265	-2.162	-2.211	-2.815	-3.038
TDRD7	1.025	1.043	-0.562	-0.64	0.615	0.492	-0.741	-0.734	1.432	1.365	-0.68	-0.759	1.283	1.2	-0.629	-0.652	1.215	1.296	-0.783	-0.534	1.488	1.477	-0.92	-0.686	-1.034	-0.985	-1.638	-1.806	0.382	0.441	-0.529	-0.443
TEP1	0.737	0.627	-0.646	-0.264	0.976	-0.208	-1.318	-1.546	1.311	1.393	0.713	-0.826	0.081	0.493	-0.476	-0.344	2.288	2.148	-0.638	-1.741	0.745	0.672	-0.139	0.603	-0.785	-0.232	-0.096	0.07	-0.385	-0.232	-1.445	-1.536
